country_iso3,year,total_publications,top10_cited_publications,field_normalized_citation_impact,counting_method,source,snapshot_date,notes
AUS,2012,87961,33326,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
USA,2014,804282,289665,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUS,2015,107318,41264,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2015,26638,9916,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2015,47010,14922,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2015,157611,44953,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2015,121327,46117,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2015,51829,19365,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2015,18181,5894,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2015,23712,6491,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2015,4448,999,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2015,29195,10536,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2015,189869,68630,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2015,38204,12106,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2015,116589,40295,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2015,3436,1299,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2015,22653,8534,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2015,159358,50640,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2015,232615,84393,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2015,21830,7728,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2015,19346,7479,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2015,14368,5114,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2015,58523,17517,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2015,17642,6334,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2015,1669,647,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2015,22739,8519,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2015,115662,44122,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2015,165087,56164,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2015,97043,37207,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2015,5161,1709,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2015,3986,960,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2015,3858,1169,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2015,38911,11841,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2015,66714,25368,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2015,23274,8959,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2015,16187,6220,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2015,6864,1680,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2015,83267,26110,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2015,31947,11106,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2015,91639,29308,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2015,22063,8593,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2015,10568,3688,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2015,8322,2682,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2015,42909,16866,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2015,57401,20028,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
USA,2015,825282,290052,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUS,2016,108581,40511,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2016,28189,10043,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2016,47573,14571,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2016,172383,45561,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2016,122861,44443,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2016,52368,19021,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2016,21320,6345,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2016,24481,6636,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2016,4264,1095,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2016,29632,10214,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2016,194108,67588,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2016,39372,12270,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2016,120215,40098,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2016,3498,1208,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2016,23511,8548,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2016,163924,50000,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2016,236561,83688,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2016,23202,7568,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2016,20351,7421,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2016,14780,5041,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2016,84225,24514,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2016,17796,6307,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2016,1711,631,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2016,24047,8875,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2016,118400,43070,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2016,165479,54433,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2016,94912,34221,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2016,4705,1424,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2016,3885,889,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2016,3249,914,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2016,40931,11800,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2016,68098,25053,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2016,25006,9185,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2016,16832,6309,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2016,7524,1773,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2016,85283,25127,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2016,32992,11175,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2016,102812,31444,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2016,22755,8432,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2016,11017,3679,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2016,8315,2603,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2016,44509,16838,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2016,63736,21072,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
USA,2016,824286,282035,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUS,2017,111581,39420,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2017,28006,9524,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2017,47256,13913,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2017,188497,46839,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2017,125556,42903,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2017,54807,18814,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2017,20584,6062,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2017,26746,6965,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2017,4106,968,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2017,29822,9601,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2017,194934,64609,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2017,39833,11705,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ESP,2017,125829,39951,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
EST,2017,3580,1180,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FIN,2017,23961,8291,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
FRA,2017,163007,46982,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GBR,2017,241619,80192,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
GRC,2017,24663,7557,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HKG,2017,21487,7628,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
HUN,2017,15247,4953,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IDN,2017,128449,35902,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
IRL,2017,18489,6212,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISL,2017,1910,659,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ISR,2017,24021,8446,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
ITA,2017,121245,42089,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
JPN,2017,167985,52118,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
KOR,2017,92730,32184,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LTU,2017,5201,1495,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LUX,2017,4175,923,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
LVA,2017,3704,1037,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
MEX,2017,43140,12251,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NLD,2017,69656,24205,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NOR,2017,26865,9562,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
NZL,2017,17683,6338,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PER,2017,8390,1996,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
POL,2017,86934,23613,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
PRT,2017,35039,10905,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
RUS,2017,110935,31870,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SGP,2017,23386,8230,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVK,2017,10897,3404,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SVN,2017,8046,2433,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
SWE,2017,45719,16643,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
TUR,2017,65689,20344,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
